Name:				028_n020_m200_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		423.09
Calculation_Time:		24.54
Total_Iterations:		8075
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		7
No_of_Items:			72
Customer_Sequence:		13 4 16 10 1 11 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	91	81	0	0	0	0	16	3	8	358.17	0		79.725658
9	83	3	0	0	3	0	15	5	5	41.21	0		8.717979
9	85	17	0	0	8	0	10	7	5	64.07	0		5.176413
9	93	94	0	0	15	0	8	5	8	63.29	0		9.268147
9	87	50	0	0	20	0	15	3	7	59.79	0		9.334829
9	92	89	0	0	3	5	12	4	6	51.27	0		22.870320
9	90	78	0	0	7	5	9	4	8	45.18	0		5.754114
9	84	15	0	0	20	7	15	3	6	51.63	0		12.056756
9	89	76	0	10	8	0	13	6	3	50.83	0		2.906359
9	88	72	0	0	23	0	12	2	5	14.83	0		3.889538
9	86	20	0	16	0	0	16	7	7	129.82	1		16.539313
11	113	74	0	10	8	3	12	7	5	70.45	0		10.464648
11	105	13	0	0	0	8	17	3	8	77	0		4.898679
11	111	37	0	9	8	8	16	6	4	50.68	0		8.574185
11	112	71	0	0	3	11	14	3	7	58.31	0		13.694348
11	103	5	0	0	15	8	6	5	7	27.21	0		5.753450
11	104	6	0	0	7	13	10	3	6	32.64	0		8.103662
11	114	85	0	0	20	13	10	3	4	14.89	0		6.269020
11	108	31	0	0	11	5	8	2	5	8.51	0		5.609142
11	109	34	0	0	15	15	8	3	3	11.35	0		6.962336
11	110	34	0	0	0	16	8	3	3	11.35	0		6.962336
11	107	24	0	0	13	5	6	2	6	11.71	0		2.971278
11	106	22	0	10	7	12	12	7	4	34.73	1		3.454602
1	9	81	0	0	3	18	16	3	8	358.17	0		79.725658
1	7	66	0	25	7	0	12	6	5	122.23	0		10.970328
1	5	50	0	8	15	0	15	3	7	59.79	0		9.334829
1	2	4	0	0	20	17	9	4	8	47.97	0		7.252563
1	8	78	0	0	6	19	9	4	8	45.18	0		5.754114
1	1	1	0	15	18	0	8	5	7	50.98	0		17.094133
1	3	10	0	8	15	7	11	3	6	39.27	0		7.225577
1	6	63	0	0	20	25	6	5	4	107.45	0		27.168164
1	4	20	0	10	7	16	16	7	7	129.82	1		16.539313
10	100	48	0	23	14	0	15	5	8	93.83	0		5.834746
10	102	66	0	23	19	0	12	6	5	122.23	0		10.970328
10	101	53	0	19	14	8	16	3	5	38.23	0		6.827713
10	94	18	0	8	15	13	12	2	6	23.68	0		34.035280
10	96	31	0	0	18	15	8	2	5	8.51	0		5.609142
10	97	34	0	0	15	18	8	3	3	11.35	0		6.962336
10	95	24	0	0	0	19	6	2	6	11.71	0		2.971278
10	98	41	0	17	0	7	10	6	8	90.40	1		1.950541
10	99	41	0	17	0	15	10	6	8	90.40	1		1.950541
16	157	27	0	23	19	5	16	6	6	84.59	0		3.232774
16	159	61	0	23	19	11	13	6	6	75.85	0		13.853251
16	158	30	0	23	19	17	11	6	6	60.50	0		7.077952
16	161	78	0	20	14	13	9	4	8	45.18	0		5.754114
16	154	5	0	15	19	7	6	5	7	27.21	0		5.753450
16	160	72	0	8	15	19	12	2	5	14.83	0		3.889538
16	155	20	0	9	6	23	16	7	7	129.82	1		16.539313
