Name:				148_n060_m200_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		656.28
Calculation_Time:		3600.00
Total_Iterations:		8627
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		20
No_of_Items:			63
Customer_Sequence:		17 9 50 59 55 49 41 6 22 28 19 3 52 57 56 5 58 51 37 39 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
39	127	16	0	0	0	0	17	5	8	352.57	0		79.584167
39	129	46	0	0	5	0	15	3	7	103.72	0		41.088454
39	128	37	0	0	8	0	7	3	3	39.66	0		27.157956
37	120	22	0	0	11	0	10	6	4	193.27	0		19.382385
37	121	25	0	0	17	0	8	3	8	163.63	0		103.303536
37	122	91	0	0	20	0	10	4	3	62.56	0		25.237620
51	167	40	0	10	8	0	16	7	8	786.64	0		57.256975
51	168	52	0	0	0	8	16	6	6	184.49	0		29.441290
51	166	36	0	0	11	4	9	6	8	333.98	0		185.458980
51	169	75	0	0	20	3	7	5	3	93.46	0		44.908898
51	170	82	0	0	0	14	17	5	7	226.33	1		12.654275
58	188	34	0	10	15	0	14	6	6	492.14	0		35.312250
58	189	39	0	0	11	12	11	3	3	98.09	0		20.902261
58	190	39	0	0	14	12	11	3	3	98.09	0		20.902261
58	187	19	0	0	6	7	15	2	3	39.53	0		10.257382
58	191	49	0	0	20	6	6	2	5	47.30	0		21.920323
5	17	100	0	0	11	15	12	6	3	126.60	0		33.518712
5	16	19	0	0	6	10	15	2	3	39.53	0		10.257382
56	182	93	0	0	11	18	10	4	3	77.37	0		49.161536
56	181	32	0	0	11	21	8	5	3	233.18	0		114.122085
57	186	83	0	12	8	8	16	6	4	275.84	0		19.611777
57	185	13	0	10	21	0	15	4	6	163.63	0		19.408482
57	183	3	0	0	22	6	15	3	5	97.03	0		24.311657
57	184	4	0	0	20	11	6	5	3	47.53	1		6.770842
52	171	3	0	12	8	12	15	3	5	97.03	0		24.311657
52	172	32	0	0	11	24	8	5	3	233.18	0		114.122085
3	11	78	0	12	11	12	15	4	4	199.04	0		44.052015
3	9	32	0	0	11	27	8	5	3	233.18	0		114.122085
3	10	48	0	12	15	6	9	4	3	63.24	0		51.528277
3	8	17	0	0	17	8	7	3	8	121.76	1		9.573660
19	59	28	0	12	11	16	11	5	5	212.71	0		40.594317
19	60	99	0	12	15	9	8	5	6	158.70	0		37.418340
19	58	10	0	12	11	21	9	6	4	137.34	0		24.684790
28	91	9	0	17	0	0	9	6	6	173.16	0		94.009103
28	92	26	0	12	8	17	12	3	8	159.29	0		32.368440
28	94	99	0	17	0	6	8	5	6	158.70	0		37.418340
28	93	39	0	12	8	25	11	3	3	98.09	0		20.902261
22	71	90	0	24	15	0	15	5	5	258.52	0		70.500591
22	70	31	0	24	15	5	12	4	6	101.75	0		11.572611
22	72	93	0	12	11	25	10	4	3	77.37	0		49.161536
6	18	52	0	26	0	0	16	6	6	184.49	0		29.441290
6	19	82	0	0	0	21	17	5	7	226.33	1		12.654275
6	20	87	0	23	15	11	16	4	7	612.19	1		40.694356
41	133	45	0	15	22	6	13	3	8	276.27	0		56.714024
41	134	65	0	25	0	6	9	6	3	131.10	0		58.414049
49	162	67	0	28	6	0	15	6	5	334.50	0		51.276893
49	161	18	0	28	6	5	13	7	4	109.57	0		11.570154
49	163	98	0	15	22	14	13	3	4	56.33	0		20.691071
49	160	4	0	0	20	14	6	5	3	47.53	1		6.770842
55	180	44	0	28	6	9	13	5	8	366.67	0		21.095287
55	179	36	0	25	0	9	9	6	8	333.98	0		185.458980
59	195	76	0	24	6	17	13	5	7	330.65	0		20.110590
59	192	31	0	24	6	24	12	4	6	101.75	0		11.572611
59	194	74	0	39	13	0	13	4	4	72.11	0		21.334140
59	193	47	0	25	0	17	11	6	8	287.13	1		18.824084
59	196	77	0	23	15	18	14	5	7	324.33	1		9.166733
50	164	88	0	39	17	0	12	5	7	294.50	0		21.768031
50	165	88	0	39	17	7	12	5	7	294.50	0		21.768031
9	29	3	0	15	22	18	15	3	5	97.03	0		24.311657
9	28	2	0	36	0	6	7	6	5	199.95	0		226.965974
9	30	39	0	15	22	23	11	3	3	98.09	0		20.902261
17	53	14	0	39	13	4	14	4	4	358.27	0		63.260343
17	54	63	0	28	11	9	14	2	6	135.98	1		12.338876


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		17
No_of_Items:			59
Customer_Sequence:		27 60 18 47 15 46 23 54 32 1 33 2 11 26 21 40 53 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
53	175	24	0	0	0	0	17	3	8	328.97	0		12.957283
53	174	14	0	0	3	0	14	4	4	358.27	0		63.260343
53	173	1	0	0	7	0	17	4	7	289.46	1		10.572344
40	130	29	0	0	11	0	16	7	4	134.71	0		14.231358
40	131	53	0	0	18	0	17	3	7	168.39	0		30.463942
40	132	97	0	0	11	4	14	5	6	199.52	1		8.594724
21	66	59	0	0	21	0	14	3	7	439.29	0		90.386455
21	65	3	0	0	3	4	15	3	5	97.03	0		24.311657
21	67	75	0	0	18	7	7	5	3	93.46	0		44.908898
21	69	97	0	0	11	10	14	5	6	199.52	1		8.594724
21	68	86	0	0	6	7	12	4	4	78.97	1		4.239496
26	86	76	0	16	11	0	13	5	7	330.65	0		20.110590
26	87	83	0	17	0	0	16	6	4	275.84	0		19.611777
26	84	42	0	7	18	7	12	4	3	44.95	0		22.884627
26	85	68	0	0	0	8	6	3	3	61.37	0		182.340791
11	35	27	0	0	18	10	13	6	7	224.50	0		9.701109
11	34	11	0	0	16	4	15	2	7	258.61	0		119.557731
11	36	95	0	0	3	9	8	2	7	55.58	0		9.736929
2	6	51	0	0	18	17	15	6	7	519.83	0		122.972388
2	7	89	0	14	11	7	14	5	8	370.40	0		23.125118
2	5	35	0	0	6	11	16	4	5	182.63	1		6.227872
33	107	88	0	14	10	15	12	5	7	294.50	0		21.768031
33	106	38	0	0	18	24	16	6	3	98.60	0		4.831006
1	3	41	0	17	0	4	16	6	6	394.97	0		18.009610
1	1	2	0	14	10	22	7	6	5	199.95	0		226.965974
1	4	74	0	17	6	0	13	4	4	72.11	0		21.334140
1	2	8	0	0	0	11	8	2	8	51.65	1		4.202031
32	104	22	0	17	0	10	10	6	4	193.27	0		19.382385
32	105	75	0	0	18	27	7	5	3	93.46	0		44.908898
54	178	79	0	17	6	4	14	4	6	353.02	0		60.660227
54	176	9	0	17	0	14	9	6	6	173.16	0		94.009103
54	177	59	0	16	6	10	14	3	7	439.29	0		90.386455
23	75	96	0	17	0	20	9	6	6	173.52	0		33.090923
23	73	64	0	17	0	26	8	5	4	250.75	0		72.776071
23	74	87	0	19	16	0	16	4	7	612.19	1		40.694356
46	149	45	0	16	6	17	13	3	8	276.27	0		56.714024
46	150	66	0	19	20	0	12	5	4	77.18	0		12.986381
46	151	66	0	19	20	4	12	5	4	77.18	0		12.986381
46	148	25	0	19	20	8	8	3	8	163.63	0		103.303536
46	152	93	0	7	18	27	10	4	3	77.37	0		49.161536
15	45	52	0	31	6	0	16	6	6	184.49	0		29.441290
15	46	58	0	27	0	10	7	6	7	141.48	0		18.375205
15	44	21	0	16	6	25	17	3	5	137.47	0		24.710175
15	47	72	0	17	20	16	9	3	5	89.28	0		29.828240
15	48	91	0	29	12	0	10	4	3	62.56	0		25.237620
47	154	28	0	31	20	0	11	5	5	212.71	0		40.594317
47	155	78	0	33	6	6	15	4	4	199.04	0		44.052015
47	153	10	0	26	0	17	9	6	4	137.34	0		24.684790
47	156	87	0	19	16	7	16	4	7	612.19	1		40.694356
18	56	41	0	35	0	0	16	6	6	394.97	0		18.009610
18	57	74	0	29	12	3	13	4	4	72.11	0		21.334140
18	55	8	0	17	20	21	8	2	8	51.65	1		4.202031
60	198	9	0	26	0	21	9	6	6	173.16	0		94.009103
60	200	59	0	28	12	7	14	3	7	439.29	0		90.386455
60	197	5	0	31	20	5	7	5	7	114.16	0		25.591019
60	199	43	0	21	10	22	6	3	5	45.39	0		21.116415
27	88	24	0	28	12	14	17	3	8	328.97	0		12.957283
27	89	28	0	33	6	10	11	5	5	212.71	0		40.594317
27	90	65	0	14	10	27	9	6	3	131.10	0		58.414049


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			3
No_of_Customers:		9
No_of_Items:			29
Customer_Sequence:		13 8 12 42 38 10 48 31 25 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
25	82	73	0	0	0	0	15	5	8	196.09	0		11.771273
25	81	50	0	0	5	0	14	4	7	388.70	0		55.226262
25	79	28	0	0	9	0	11	5	5	212.71	0		40.594317
25	80	35	0	0	14	0	16	4	5	182.63	1		6.227872
25	83	86	0	0	18	0	12	4	4	78.97	1		4.239496
31	102	44	0	0	9	5	13	5	8	366.67	0		21.095287
31	103	83	0	0	0	8	16	6	4	275.84	0		19.611777
31	101	12	0	0	0	12	12	6	3	168.92	0		33.364951
48	157	27	0	0	9	13	13	6	7	224.50	0		9.701109
48	159	85	0	0	9	20	17	5	4	325.78	0		76.093179
48	158	82	0	0	14	5	17	5	7	226.33	1		12.654275
10	31	27	0	0	0	15	13	6	7	224.50	0		9.701109
10	33	84	0	0	0	22	8	6	8	136.90	0		65.687369
10	32	61	0	0	22	0	15	3	7	296.44	0		111.486832
38	125	53	0	0	22	7	17	3	7	168.39	0		30.463942
38	123	25	0	0	6	7	8	3	8	163.63	0		103.303536
38	124	49	0	0	22	14	6	2	5	47.30	0		21.920323
38	126	63	0	0	19	4	14	2	6	135.98	1		12.338876
42	136	79	0	0	9	24	14	4	6	353.02	0		60.660227
42	137	97	0	0	15	12	14	5	6	199.52	1		8.594724
42	135	56	0	0	15	18	12	4	8	506.67	1		36.888147
12	37	5	1	8	0	22	7	5	7	114.16	0		25.591019
12	38	12	0	16	0	0	12	6	3	168.92	0		33.364951
12	39	62	0	6	22	14	13	2	6	70.59	0		86.141931
8	26	59	0	14	19	0	14	3	7	439.29	0		90.386455
8	25	3	0	14	19	7	15	3	5	97.03	0		24.311657
8	27	93	0	16	0	3	10	4	3	77.37	0		49.161536
13	41	32	0	16	0	6	8	5	3	233.18	0		114.122085
13	40	7	0	17	6	0	7	7	4	271	1		15.505098


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			4
No_of_Customers:		14
No_of_Items:			49
Customer_Sequence:		16 43 4 7 36 44 29 34 20 45 14 35 24 30 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
30	98	18	0	0	0	0	13	7	4	109.57	0		11.570154
30	99	85	0	0	7	0	17	5	4	325.78	0		76.093179
30	100	97	0	0	12	0	14	5	6	199.52	1		8.594724
24	76	29	0	0	17	0	16	7	4	134.71	0		14.231358
24	77	53	0	0	0	4	17	3	7	168.39	0		30.463942
24	78	56	0	0	3	4	12	4	8	506.67	1		36.888147
35	113	89	0	0	7	4	14	5	8	370.40	0		23.125118
35	114	89	0	0	17	4	14	5	8	370.40	0		23.125118
35	112	85	0	0	7	12	17	5	4	325.78	0		76.093179
35	111	72	0	0	0	11	9	3	5	89.28	0		29.828240
14	43	53	0	0	17	12	17	3	7	168.39	0		30.463942
14	42	11	0	0	22	4	15	2	7	258.61	0		119.557731
45	147	44	0	0	7	16	13	5	8	366.67	0		21.095287
45	146	4	0	0	12	6	6	5	3	47.53	1		6.770842
20	61	6	0	17	0	0	15	7	8	272.81	0		13.355447
20	63	84	0	17	7	0	8	6	8	136.90	0		65.687369
20	62	53	0	0	17	19	17	3	7	168.39	0		30.463942
20	64	100	0	0	7	24	12	6	3	126.60	0		33.518712
34	108	27	0	17	13	0	13	6	7	224.50	0		9.701109
34	110	83	0	17	19	0	16	6	4	275.84	0		19.611777
34	109	74	0	0	17	26	13	4	4	72.11	0		21.334140
29	95	36	0	17	19	4	9	6	8	333.98	0		185.458980
29	97	85	0	17	13	7	17	5	4	325.78	0		76.093179
29	96	65	0	0	7	27	9	6	3	131.10	0		58.414049
44	143	24	0	17	0	8	17	3	8	328.97	0		12.957283
44	145	37	0	0	0	16	7	3	3	39.66	0		27.157956
44	144	30	0	0	0	19	8	2	3	28.88	0		22.083911
36	119	84	0	17	3	8	8	6	8	136.90	0		65.687369
36	117	74	0	17	13	11	13	4	4	72.11	0		21.334140
36	116	32	1	17	17	12	8	5	3	233.18	0		114.122085
36	118	82	0	17	0	16	17	5	7	226.33	1		12.654275
36	115	7	0	17	13	15	7	7	4	271	1		15.505098
7	21	25	0	13	7	16	8	3	8	163.63	0		103.303536
7	22	32	0	25	7	0	8	5	3	233.18	0		114.122085
7	23	39	0	12	7	24	11	3	3	98.09	0		20.902261
7	24	97	0	17	0	23	14	5	6	199.52	1		8.594724
4	14	83	0	33	5	0	16	6	4	275.84	0		19.611777
4	15	90	0	33	18	0	15	5	5	258.52	0		70.500591
4	13	35	0	32	5	4	16	4	5	182.63	1		6.227872
4	12	17	0	17	13	19	7	3	8	121.76	1		9.573660
43	142	89	0	30	18	5	14	5	8	370.40	0		23.125118
43	139	79	0	30	18	13	14	4	6	353.02	0		60.660227
43	138	9	0	34	11	0	9	6	6	173.16	0		94.009103
43	141	87	0	30	18	19	16	4	7	612.19	1		40.694356
43	140	86	0	30	18	26	12	4	4	78.97	1		4.239496
16	51	29	0	43	11	0	16	7	4	134.71	0		14.231358
16	49	9	0	34	11	6	9	6	6	173.16	0		94.009103
16	50	12	0	34	11	12	12	6	3	168.92	0		33.364951
16	52	32	0	9	7	27	8	5	3	233.18	0		114.122085


