Name:				293_n100_m200_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		732.45
Calculation_Time:		3600.00
Total_Iterations:		4763
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		32
No_of_Items:			64
Customer_Sequence:		9 8 62 15 46 31 99 11 76 33 28 100 68 61 48 21 80 71 51 40 55 13 3 86 5 92 17 74 84 63 50 22 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
22	42	9	0	0	0	0	13	6	6	175.68	0		7.189842
22	43	10	0	0	6	0	9	6	6	286.81	0		23.289073
22	41	7	0	0	12	0	17	3	6	366.38	0		237.882874
50	102	4	0	0	15	0	8	6	6	203.59	0		22.553654
50	103	8	0	0	0	6	9	6	8	159.56	1		3.607257
50	101	2	0	0	6	6	11	5	3	105.27	1		8.472163
63	128	9	0	0	11	6	13	6	6	175.68	0		7.189842
63	126	6	0	0	11	12	9	6	8	187.09	0		14.123023
63	127	8	0	0	0	14	9	6	8	159.56	1		3.607257
84	168	5	0	0	21	0	9	3	7	94.73	0		18.299964
74	147	6	0	0	11	20	9	6	8	187.09	0		14.123023
74	148	6	0	13	0	0	9	6	8	187.09	0		14.123023
74	146	5	0	0	17	6	9	3	7	94.73	0		18.299964
17	31	8	0	0	0	22	9	6	8	159.56	1		3.607257
92	183	9	0	9	17	0	13	6	6	175.68	0		7.189842
92	182	5	0	0	21	7	9	3	7	94.73	0		18.299964
5	8	2	0	0	6	9	11	5	3	105.27	1		8.472163
86	171	4	0	9	17	6	8	6	6	203.59	0		22.553654
86	170	3	0	0	17	13	8	4	8	91.14	0		17.512558
86	172	8	1	9	11	12	9	6	8	159.56	1		3.607257
3	5	9	0	15	6	0	13	6	6	175.68	0		7.189842
3	6	10	0	13	0	8	9	6	6	286.81	0		23.289073
3	4	1	0	15	6	6	14	4	3	156.62	0		11.556941
13	21	6	0	13	0	14	9	6	8	187.09	0		14.123023
55	112	5	0	0	21	14	9	3	7	94.73	0		18.299964
40	80	9	0	22	0	0	13	6	6	175.68	0		7.189842
40	79	7	0	11	6	9	17	3	6	366.38	0		237.882874
40	78	1	0	11	6	15	14	4	3	156.62	0		11.556941
51	105	9	0	22	12	0	13	6	6	175.68	0		7.189842
51	106	10	0	0	17	21	9	6	6	286.81	0		23.289073
51	104	4	0	13	0	22	8	6	6	203.59	0		22.553654
71	140	6	0	22	18	0	9	6	8	187.09	0		14.123023
71	141	6	0	22	0	6	9	6	8	187.09	0		14.123023
80	161	8	1	9	11	20	9	6	8	159.56	1		3.607257
21	40	5	0	9	20	12	9	3	7	94.73	0		18.299964
48	98	9	0	22	12	6	13	6	6	175.68	0		7.189842
61	124	7	0	11	6	18	17	3	6	366.38	0		237.882874
68	134	6	0	22	18	8	9	6	8	187.09	0		14.123023
100	200	3	0	9	20	19	8	4	8	91.14	0		17.512558
28	56	10	0	22	12	12	9	6	6	286.81	0		23.289073
28	55	5	0	22	0	14	9	3	7	94.73	0		18.299964
28	54	1	0	0	20	27	14	4	3	156.62	0		11.556941
33	66	10	0	22	18	16	9	6	6	286.81	0		23.289073
76	154	9	0	29	6	0	13	6	6	175.68	0		7.189842
76	152	4	0	22	12	18	8	6	6	203.59	0		22.553654
76	153	4	0	22	18	22	8	6	6	203.59	0		22.553654
11	17	7	0	11	6	24	17	3	6	366.38	0		237.882874
11	16	5	0	22	3	14	9	3	7	94.73	0		18.299964
11	18	8	0	22	0	21	9	6	8	159.56	1		3.607257
99	198	10	0	22	12	24	9	6	6	286.81	0		23.289073
99	199	10	0	29	6	6	9	6	6	286.81	0		23.289073
99	197	5	0	28	6	12	9	3	7	94.73	0		18.299964
31	63	9	0	31	18	0	13	6	6	175.68	0		7.189842
31	61	1	0	31	18	6	14	4	3	156.62	0		11.556941
31	62	1	0	31	18	9	14	4	3	156.62	0		11.556941
46	94	10	1	31	9	12	9	6	6	286.81	0		23.289073
46	92	7	0	31	18	12	17	3	6	366.38	0		237.882874
46	93	8	1	31	9	18	9	6	8	159.56	1		3.607257
15	26	7	0	31	18	18	17	3	6	366.38	0		237.882874
15	27	7	0	30	18	24	17	3	6	366.38	0		237.882874
15	25	5	0	28	6	19	9	3	7	94.73	0		18.299964
62	125	8	0	35	0	0	9	6	8	159.56	1		3.607257
8	11	9	0	42	6	0	13	6	6	175.68	0		7.189842
9	12	10	0	38	6	6	9	6	6	286.81	0		23.289073


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		25
No_of_Items:			56
