Name:				321_n020_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		467.42
Calculation_Time:		3600.00
Total_Iterations:		442
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		3
No_of_Items:			54
Customer_Sequence:		19 14 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	146	2	0	0	0	0	16	7	8	98.64	0		9.874351
8	161	8	0	0	7	0	10	5	7	43.04	0		3.398651
8	158	6	0	0	12	0	11	4	7	38.82	0		4.681858
8	157	6	0	0	16	0	11	4	7	38.82	0		4.681858
8	156	6	0	0	20	0	11	4	7	38.82	0		4.681858
8	155	5	0	0	7	7	10	6	5	32.44	0		13.767275
8	154	5	0	0	13	7	10	6	5	32.44	0		13.767275
8	153	5	0	0	19	7	10	6	5	32.44	0		13.767275
8	152	5	0	0	0	8	10	6	5	32.44	0		13.767275
8	162	10	0	0	7	12	10	4	6	42.10	0		4.910823
8	163	10	0	0	11	12	10	4	6	42.10	0		4.910823
8	164	10	0	0	15	12	10	4	6	42.10	0		4.910823
8	165	10	0	0	19	12	10	4	6	42.10	0		4.910823
8	151	4	0	0	0	13	10	5	4	20.03	0		10.906988
8	150	4	0	0	0	17	10	5	4	20.03	0		10.906988
8	159	7	0	0	23	12	7	2	8	21.35	0		16.824741
8	160	7	0	0	7	18	7	2	8	21.35	0		16.824741
8	145	1	0	0	9	18	7	4	3	11.03	0		2.473601
8	149	3	0	11	7	0	16	6	8	74.44	1		0.981683
8	148	3	1	10	0	8	16	6	8	74.44	1		0.981683
8	147	3	1	10	0	16	16	6	8	74.44	1		0.981683
14	267	2	0	11	16	0	16	7	8	98.64	0		9.874351
14	266	2	0	10	16	8	16	7	8	98.64	0		9.874351
14	279	8	0	10	16	16	10	5	7	43.04	0		3.398651
14	278	8	0	10	16	23	10	5	7	43.04	0		3.398651
14	277	8	0	16	0	0	10	5	7	43.04	0		3.398651
14	276	8	0	16	0	7	10	5	7	43.04	0		3.398651
14	270	6	0	16	0	14	11	4	7	38.82	0		4.681858
14	271	6	0	16	0	21	11	4	7	38.82	0		4.681858
14	272	6	0	26	0	0	11	4	7	38.82	0		4.681858
14	269	5	0	27	7	0	10	6	5	32.44	0		13.767275
14	282	10	0	0	19	18	10	4	6	42.10	0		4.910823
14	268	4	0	0	19	24	10	5	4	20.03	0		10.906988
14	275	7	0	10	21	16	7	2	8	21.35	0		16.824741
14	274	7	0	11	23	0	7	2	8	21.35	0		16.824741
14	273	7	0	10	23	8	7	2	8	21.35	0		16.824741
14	280	9	0	26	4	0	11	3	8	42.72	1		4.036976
14	281	9	0	26	4	8	11	3	8	42.72	1		4.036976
19	377	8	0	27	13	0	10	5	7	43.04	0		3.398651
19	373	5	0	27	18	0	10	6	5	32.44	0		13.767275
19	374	5	0	27	7	5	10	6	5	32.44	0		13.767275
19	375	5	0	27	18	5	10	6	5	32.44	0		13.767275
19	381	10	0	26	7	10	10	4	6	42.10	0		4.910823
19	371	4	0	26	7	16	10	5	4	20.03	0		10.906988
19	372	4	0	26	7	20	10	5	4	20.03	0		10.906988
19	376	7	0	10	23	16	7	2	8	21.35	0		16.824741
19	366	1	0	10	21	24	7	4	3	11.03	0		2.473601
19	367	1	0	10	21	27	7	4	3	11.03	0		2.473601
19	368	3	0	37	0	0	16	6	8	74.44	1		0.981683
19	369	3	0	37	6	0	16	6	8	74.44	1		0.981683
19	370	3	0	37	12	0	16	6	8	74.44	1		0.981683
19	378	9	0	26	4	16	11	3	8	42.72	1		4.036976
19	379	9	0	27	18	10	11	3	8	42.72	1		4.036976
19	380	9	0	26	21	10	11	3	8	42.72	1		4.036976


