Name:				331_n020_m400_bt3
Problem:			3L-VRPTW
Number_of_used_Vehicles:	3
Total_Travel_Distance:		406.19
Calculation_Time:		2144.46
Total_Iterations:		8033
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		9
No_of_Items:			186
Customer_Sequence:		5 7 2 10 1 3 8 13 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	276	2	0	0	0	0	7	6	5	24.63	0		18.124739
14	277	2	0	0	6	0	7	6	5	24.63	0		18.124739
14	278	2	0	0	12	0	7	6	5	24.63	0		18.124739
14	279	2	0	0	18	0	7	6	5	24.63	0		18.124739
14	280	3	0	0	0	5	6	6	5	128.48	0		17.830253
14	288	3	0	0	6	5	6	6	5	128.48	0		17.830253
14	287	3	0	0	12	5	6	6	5	128.48	0		17.830253
14	286	3	0	0	18	5	6	6	5	128.48	0		17.830253
14	285	3	0	0	0	10	6	6	5	128.48	0		17.830253
14	284	3	0	0	6	10	6	6	5	128.48	0		17.830253
14	283	3	0	0	12	10	6	6	5	128.48	0		17.830253
14	282	3	0	0	18	10	6	6	5	128.48	0		17.830253
14	281	3	0	0	0	15	6	6	5	128.48	0		17.830253
14	271	1	0	0	6	15	6	6	5	26.52	1		0.769020
14	275	1	0	0	12	15	6	6	5	26.52	1		0.769020
14	274	1	0	0	18	15	6	6	5	26.52	1		0.769020
14	273	1	0	0	0	20	6	6	5	26.52	1		0.769020
14	272	1	0	0	6	20	6	6	5	26.52	1		0.769020
13	265	2	0	7	0	0	7	6	5	24.63	0		18.124739
13	264	2	0	6	0	5	7	6	5	24.63	0		18.124739
13	263	2	0	6	0	10	7	6	5	24.63	0		18.124739
13	262	2	0	6	0	15	7	6	5	24.63	0		18.124739
13	261	2	0	6	0	20	7	6	5	24.63	0		18.124739
13	260	2	0	6	0	25	7	6	5	24.63	0		18.124739
13	257	2	0	7	6	0	7	6	5	24.63	0		18.124739
13	258	2	0	6	6	5	7	6	5	24.63	0		18.124739
13	259	2	0	6	6	10	7	6	5	24.63	0		18.124739
13	270	3	0	6	6	15	6	6	5	128.48	0		17.830253
13	269	3	0	6	6	20	6	6	5	128.48	0		17.830253
13	268	3	0	6	6	25	6	6	5	128.48	0		17.830253
13	267	3	0	7	12	0	6	6	5	128.48	0		17.830253
13	266	3	0	6	12	5	6	6	5	128.48	0		17.830253
13	256	1	0	0	12	20	6	6	5	26.52	1		0.769020
13	255	1	0	0	18	20	6	6	5	26.52	1		0.769020
13	254	1	0	0	0	25	6	6	5	26.52	1		0.769020
13	253	1	0	0	6	25	6	6	5	26.52	1		0.769020
13	252	1	0	0	12	25	6	6	5	26.52	1		0.769020
13	251	1	0	0	18	25	6	6	5	26.52	1		0.769020
13	250	1	0	6	12	10	6	6	5	26.52	1		0.769020
13	249	1	0	6	12	15	6	6	5	26.52	1		0.769020
13	248	1	0	6	12	20	6	6	5	26.52	1		0.769020
13	247	1	0	6	12	25	6	6	5	26.52	1		0.769020
13	246	1	0	7	18	0	6	6	5	26.52	1		0.769020
8	153	2	0	13	12	0	7	6	5	24.63	0		18.124739
8	154	2	0	12	12	5	7	6	5	24.63	0		18.124739
8	155	2	0	12	12	10	7	6	5	24.63	0		18.124739
8	156	2	0	12	12	15	7	6	5	24.63	0		18.124739
