Name:				345_n020_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		454.00
Calculation_Time:		3600.00
Total_Iterations:		368
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			79
Customer_Sequence:		7 11 17 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	280	57	0	0	0	0	11	6	7	48.35	0		4.011532
14	278	53	0	0	6	0	11	5	8	55.20	0		4.525882
14	271	12	0	0	11	0	16	5	5	26.59	0		5.535246
14	279	54	0	0	16	0	11	6	6	30.94	0		10.343593
14	269	5	0	0	16	6	13	6	5	15	0		1.426724
14	285	88	0	0	16	11	16	6	4	30.16	0		3.403408
14	277	48	0	0	16	15	16	6	4	17.78	0		2.504776
14	270	10	0	0	16	19	10	7	5	33.66	0		10.121972
14	268	1	0	11	0	0	16	6	3	23.47	0		7.891938
14	283	83	0	0	22	0	13	3	7	21.05	0		2.503168
14	284	85	0	0	16	24	9	7	4	9.74	0		12.207030
14	281	62	0	0	11	5	16	4	3	11.95	0		4.345434
14	272	14	0	0	0	7	10	6	3	12.71	0		10.704533
14	273	27	0	0	6	8	7	5	3	14	0		4.320872
14	275	31	0	0	11	8	7	4	3	9.54	0		4.838125
14	282	81	0	11	0	3	17	7	7	93.55	1		2.511386
14	276	47	0	0	0	10	12	6	5	39.75	1		1.454094
17	338	55	0	0	6	11	7	3	7	15.44	0		3.699976
17	326	7	0	16	7	0	15	7	7	39.63	0		2.798399
17	331	26	0	16	14	0	14	7	4	27.12	0		5.060892
17	325	5	0	16	14	4	13	6	5	15	0		1.426724
17	343	86	0	16	7	7	17	6	3	15.51	0		16.966395
17	327	9	0	0	9	11	8	5	7	27.53	0		3.131179
17	328	18	0	0	6	18	7	5	8	22.81	0		2.358400
17	339	56	0	16	14	9	15	6	3	23.03	0		9.440912
17	341	85	0	16	7	10	9	7	4	9.74	0		12.207030
17	342	85	0	16	14	12	9	7	4	9.74	0		12.207030
