Name:				466_n060_m400_bt3
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		739.57
Calculation_Time:		3600.00
Total_Iterations:		4578
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			76
Customer_Sequence:		25 19 48 21 11 22 46 27 53 3 60 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
60	398	2	0	0	0	0	15	3	4	143.74	0		26.805444
60	395	1	0	0	3	0	8	4	4	61.10	0		17.746910
60	396	1	0	0	7	0	8	4	4	61.10	0		17.746910
60	397	1	0	0	11	0	8	4	4	61.10	0		17.746910
60	399	3	0	0	15	0	9	7	5	159.23	1		3.199908
60	400	3	0	0	0	4	9	7	5	159.23	1		3.199908
3	18	2	0	0	22	0	15	3	4	143.74	0		26.805444
3	16	1	0	0	7	4	8	4	4	61.10	0		17.746910
3	17	1	0	0	11	4	8	4	4	61.10	0		17.746910
3	19	3	0	0	15	5	9	7	5	159.23	1		3.199908
3	20	3	0	0	7	8	9	7	5	159.23	1		3.199908
3	21	3	0	0	0	9	9	7	5	159.23	1		3.199908
53	344	2	0	0	22	4	15	3	4	143.74	0		26.805444
53	345	2	0	0	22	8	15	3	4	143.74	0		26.805444
53	343	1	0	9	3	0	8	4	4	61.10	0		17.746910
53	346	3	0	0	14	10	9	7	5	159.23	1		3.199908
53	347	3	0	0	7	13	9	7	5	159.23	1		3.199908
53	348	3	0	0	0	14	9	7	5	159.23	1		3.199908
53	349	3	0	0	14	15	9	7	5	159.23	1		3.199908
27	171	2	0	0	22	12	15	3	4	143.74	0		26.805444
27	168	1	0	9	7	0	8	4	4	61.10	0		17.746910
27	169	1	0	9	11	0	8	4	4	61.10	0		17.746910
27	170	1	0	9	15	0	8	4	4	61.10	0		17.746910
27	172	3	0	0	7	18	9	7	5	159.23	1		3.199908
27	173	3	0	0	0	19	9	7	5	159.23	1		3.199908
27	174	3	0	0	14	20	9	7	5	159.23	1		3.199908
27	175	3	0	0	7	23	9	7	5	159.23	1		3.199908
46	301	2	0	0	22	16	15	3	4	143.74	0		26.805444
46	298	1	0	0	21	20	8	4	4	61.10	0		17.746910
46	299	1	0	0	21	24	8	4	4	61.10	0		17.746910
46	300	1	0	9	0	4	8	4	4	61.10	0		17.746910
46	302	3	0	0	0	24	9	7	5	159.23	1		3.199908
22	139	2	0	9	19	0	15	3	4	143.74	0		26.805444
22	140	2	1	9	4	4	15	3	4	143.74	0		26.805444
22	141	2	0	9	19	4	15	3	4	143.74	0		26.805444
22	134	1	0	9	0	8	8	4	4	61.10	0		17.746910
22	135	1	1	9	4	8	8	4	4	61.10	0		17.746910
22	136	1	1	9	12	8	8	4	4	61.10	0		17.746910
22	137	1	0	9	0	12	8	4	4	61.10	0		17.746910
22	138	1	1	9	4	12	8	4	4	61.10	0		17.746910
22	142	3	0	0	14	25	9	7	5	159.23	1		3.199908
11	70	2	1	9	0	16	15	3	4	143.74	0		26.805444
11	71	2	1	9	0	20	15	3	4	143.74	0		26.805444
11	72	2	1	9	0	24	15	3	4	143.74	0		26.805444
11	73	2	1	13	4	4	15	3	4	143.74	0		26.805444
11	74	3	0	17	0	0	9	7	5	159.23	1		3.199908
21	130	2	1	13	4	8	15	3	4	143.74	0		26.805444
21	131	2	1	13	4	12	15	3	4	143.74	0		26.805444
21	125	1	1	12	0	16	8	4	4	61.10	0		17.746910
21	126	1	1	12	8	16	8	4	4	61.10	0		17.746910
21	127	1	1	12	0	20	8	4	4	61.10	0		17.746910
21	128	1	1	12	8	20	8	4	4	61.10	0		17.746910
21	129	1	1	12	0	24	8	4	4	61.10	0		17.746910
21	132	3	0	17	7	0	9	7	5	159.23	1		3.199908
21	133	3	0	16	4	5	9	7	5	159.23	1		3.199908
48	311	2	0	15	22	0	15	3	4	143.74	0		26.805444
48	312	2	0	15	22	4	15	3	4	143.74	0		26.805444
48	313	2	0	15	22	8	15	3	4	143.74	0		26.805444
48	314	2	0	15	22	12	15	3	4	143.74	0		26.805444
48	309	1	1	12	8	24	8	4	4	61.10	0		17.746910
48	310	1	0	17	14	0	8	4	4	61.10	0		17.746910
48	315	3	0	16	4	10	9	7	5	159.23	1		3.199908
48	316	3	0	16	4	15	9	7	5	159.23	1		3.199908
48	317	3	0	16	4	20	9	7	5	159.23	1		3.199908
19	113	2	0	15	22	16	15	3	4	143.74	0		26.805444
19	114	2	0	8	22	20	15	3	4	143.74	0		26.805444
